Nom, Vietnamese translated by hcmus
追論陣亡,truy luận trận vong
贈都督僉事廣郡公陶世僊爲少保給祀事民立祠享祭,tặng đô đốc thiêm sự quảng quận công đào thế tiên vi thiếu bảo cấp tự sự dân lập từ hưởng tế
世僊慈玉軸人,thế tiên từ ngọc trục nhân
廉十二月命阮國󱗻阮公璧范維質阮宗澧等捧賫金冊即軍中拜統領官副都将太傅富郡公,liêm thập nhị nguyệt mệnh nguyễn quốc mo nguyễn công bích phạm duy chất nguyễn tông lễ đẳng phủng tê kim sách tức quân trung bái thống lĩnh quan phó đô tướng thái phó phú quận công
鄭根爲欽差節制各處水步諸營兼總政柄太尉宜國公開理國府領銀印,trịnh căn vi khâm sai tiết chế các xứ thuỷ bộ chư dinh kiêm tổng chính bính thái uý nghi quốc công khai lí quốc phủ lĩnh ngân ấn
其冊文曰陟帝位以臨民丕闡太平之治若王彜而錫命𠃔󰏲尊貴之文,kì sách văn viết trắc đế vị dĩ lâm dân phi xiển thái bình chi trị nhược vương di nhi tích mệnh doãn kê tôn quý chi văn
榖旦載蠲芝論誕播睠,cốc đán tải quyên chi luận đản bá quyến
惟奉差統領副都将太傅富郡公鄭根性兼仁厚才挺英䧺,duy phụng sai thống lĩnh phó đô tướng thái phó phú quận công trịnh căn tính kiêm nhân hậu tài đĩnh anh hùng
肆予頼主帥上輔德下爲民保國家益延厥緒嘉乃以王嗣文附眾武威敵安社稷寔大具功,tứ dư lại chủ soái thượng phụ đức hạ vi dân bảo quốc gia ích duyên quyết tự gia nãi dĩ vương tự văn phụ chúng vũ uy địch an xã tắc thật đại cụ công
望咸孚率土之心位盍冠諸公之上,vọng hàm phu suất thổ chi tâm vị hạp quan chư công chi thượng
特遣參從禮部尚書燕郡公范公著持節賫捧金冊銀印加,đặc khiển tham tòng lễ bộ thượng thư yến quận công phạm công trước trì tiết tê phủng kim sách ngân ấn gia
榮封爲理國府欽差節制各處水步諸營兼總政柄太尉宜國公,vinh phong vi lí quốc phủ khâm sai tiết chế các xứ thuỷ bộ chư dinh kiêm tổng chính bính thái uý nghi quốc công
爾其恪遵成命茂建殊勳,nhĩ kì khác tuân thành mệnh mậu kiến thù huân
監國撫軍這大小事欽閲决迪毅登辟舉内外效厎治安,giám quốc phủ quân giá đại tiểu sự khâm duyệt quyết địch nghị đăng tích cử nội ngoại hiệu chỉ trị an
以答予心責成之重副王父委寄之隆斯益衍皇圖鞏固之長保王業綿洪之大,dĩ đáp dư tâm trách thành chi trọng phó vương phụ uỷ ký chi long tư ích diễn hoàng đồ củng cố chi trường bảo vương nghiệp miên hồng chi đại
爾其欽哉,nhĩ kì khâm tai
辛丑四年明永曆十五年清順治十七年,tân sửu tứ niên minh vĩnh lịch thập ngũ niên thanh thuận trị thập thất niên
春二月節制太尉宜國公鄭根振旅還京留陶光饒爲鎮守黎仕澈胡士揚鄭時濟爲督視領諸将屯于奇華河中地,xuân nhị nguyệt tiết chế thái uý nghi quốc công trịnh căn chấn lữ hoàn kinh lưu đào quang nhiêu vi trấn thủ lê sĩ triệt hồ sĩ dương trịnh thì tế vi đốc thị lĩnh chư tướng đồn vu kỳ hoa hà trung địa
方,phương
三月十八日節制太尉宜國公鄭根進至清華大慶府以會試期在邇預差属将黎時憲黄義膠與參視潘兼全等先進赴京以及試期扈從,tam nguyệt thập bát nhật tiết chế thái uý nghi quốc công trịnh căn tiến chí thanh hoa đại khánh phủ dĩ hội thí kỳ tại nhĩ dự sai thuộc tướng lê thì hiến hoàng nghĩa giao dữ tham thị phan kiêm toàn đẳng tiên tiến phó kinh dĩ cập thí kì hỗ tòng
二十八日太尉宜國公鄭根至京詣殿庭󰥭謁,nhị thập bát nhật thái uý nghi quốc công trịnh căn chí kinh nghệ điện đình bái yết
帝歡悅慇懃奬勞,đế hoan duyệt ân cần tưởng lao
及詣府中󰥭見王父王大喜慰以衝冐霜雪多年勸除逆賊收復境土不負委寄之重,cập nghệ phủ trung bái kiến vương phụ vương đại hỉ uý dĩ xung mạo sương tuyết đa niên khuyến trừ nghịch tặc thu phục cảnh thổ bất phụ uỷ ký chi trọng
會試天下士人,hội thí thiên hạ sĩ nhân
取中格陳春榜等十三名及殿試賜鄧公瓆陶公正吳珪三名進士及第陳春榜黎致平二名進士出身黎,thủ trung cách trần xuân bảng đẳng thập tam danh cập điện thí tứ đặng công chất đào công chính ngô khuê tam danh tiến sĩ cập đệ trần xuân bảng lê trí bình nhị danh tiến sĩ xuất thân lê
仁傑等八名同進士出身,nhân kiệt đẳng bát danh đồng tiến sĩ xuất thân
夏四月論平賊收復境土功,hạ tứ nguyệt luận bình tặc thu phục cảnh thổ công
陞黎時憲爲副将少尉開營號左中軍頒營印黄義膠爲副将左都督,thăng lê thì hiến vi phó tướng thiếu uý khai dinh hiệu tả trung quân ban dinh ấn hoàng nghĩa giao vi phó tướng tả đô đốc
又以陳文󰱇阮能紹潘兼全等參謀籌畫有功陞文󰱇爲御史󰱑都御史川郡公䏻紹爲御史󰱑副都御史陽郡公兼全爲吏部右侍郎瑞郡公,hựu dĩ trần văn tuyển nguyễn năng thiệu phan kiêm toàn đẳng tham mưu trù hoạ hữu công thăng văn tuyển vi ngự sử đài đô ngự sử xuyên quận công năng thiệu vi ngự sử đài phó đô ngự sử dương quận công kiêm toàn vi lại bộ hữu thị lang thuỵ quận công
又以黎仕澈奉差參視有功陞爲户部左侍郎桂海侯,hựu dĩ lê sĩ triệt phụng sai tham thị hữu công thăng vi hộ bộ tả thị lang quế hải hầu
其餘属将黎文隆黎文進劉世賡陳公衛等二十六員並陞職爵賞給民禄有差,kỳ dư thuộc tướng lê văn long lê văn tiến lưu thế canh trần công vệ đẳng nhị thập lục viên tịnh thăng chức tước thưởng cấp dân lộc hữu sai
又以鄭棟鄭榩,hựu dĩ trịnh đống trịnh kiền
奉差統率分守要道有功陞鄭棟爲太傅鄭榩爲少尉,phụng sai thống suất phân thủ yếu đạo hữu công thăng trịnh đống vi thái phó trịnh kiền vi thiếu uý
六月加户部尚書兼翰林院侍講掌翰林院事少保拔郡公楊致澤爲吏部尚書國老太保致仕,lục nguyệt gia hộ bộ thượng thư kiêm hàn lâm viện thị giảng chưởng hàn lâm viện sự thiếu bảo bạt quận công dương trí trạch vi lại bộ thượng thư quốc lão thái bảo trí sĩ
命朝臣申制公位文武百官品服行儀噐用,mệnh triều thần thân chế công vị văn võ bách quan phẩm phục hành nghi khí dụng
閏十月尚師西王以賊福頻雖散敗迯回尚未投降納欵乃親扶皇上大駕親征,nhuận thập nguyệt thượng sư tây vương dĩ tặc phúc tần tuy tán bại đào hồi thượng vị đầu hàng nạp khoản nãi thân phù hoàng thượng đại giá thân chinh
委節制太尉宜國公鄭根董兵直扺日麗海門差副将少尉陶光饒爲統率副将少尉黎時憲左都督黄義膠等並爲督率陪從黎仕澈鄭,uỷ tiết chế thái uý nghi quốc công trịnh căn đổng binh trực chỉ nhật lệ hải môn sai phó tướng thiếu uý đào quang nhiêu vi thống suất phó tướng thiếu uý lê thì hiến tả đô đốc hoàng nghĩa giao đẳng tịnh vi đốc suất bồi tòng lê sĩ triệt trịnh
時濟申璿等爲督視分三道進討,thời tế thân toàn đẳng vi đốc thị phân tam đạo tiến thảo
壬寅五年九月以後萬慶元年明曆十六年清康熙元年,nhâm dần ngũ niên cửu nguyệt dĩ hậu vạn khánh nguyên niên minh lịch thập lục niên thanh khang hi nguyên niên
永春盛烈社陂水涸一刻餘,vĩnh xuân thịnh liệt xã bi thuỷ hạc nhất khắc dư
二月詔班師,nhị nguyệt chiếu ban sư
時阮福頻依險固守,thời nguyễn phúc tần y hiểm cố thủ
大兵按臨日久糧食頗匱且熱氣方蒸久留不便乃諭諸将班師而還,đại binh án lâm nhật cửu lương thực phả quỹ thả nhiệt khí phương chưng cửu lưu bất tiện nãi dụ chư tướng ban sư nhi hoàn
三月車駕還京,tam nguyệt xa giá hoàn kinh
又以髙平莫孽聚兵于七泉震動方民,hựu dĩ cao bình mạc nghiệt tụ binh vu thất tuyền chấn động phương dân
乃命副将少尉雲郡公鄭榩爲統領僉都御史馮曰脩爲督視領兵進討,nãi mệnh phó tướng thiếu uý vân quận công trịnh kiền vi thống lĩnh thiêm đô ngự sử phùng viết tu vi đốc thị lĩnh binh tiến thảo
賊黨聞之迯走,tặc đảng văn chi đào tẩu
東閣大學士阮登鎬󰰾,đông các đại học sĩ nguyễn đăng cảo bãi
鎬以文章名然性行非常居官好異,cảo dĩ văn chương danh nhiên tính hành phi thường cư quan hảo dị
不慎職守以是󰰾,bất thận chức thủ dĩ thị bãi
夏五月命參從禮部尚書兼東閣大學士少保燕郡公范公著監守國子監皂隷民奉事,hạ ngũ nguyệt mệnh tham tòng lễ bộ thượng thư kiêm đông các đại học sĩ thiếu bảo yến quận công phạm công trước giám thủ quốc tử giám tạo lệ dân phụng sự
時國學殿堂宫墻内外率多榛漏公著增加脩理制度規模稍復輪奐,thời quốc học điện đường cung tường nội ngoại suất đa trăn lậu công trước tăng gia tu lí chế độ quy mô sảo phục luân hoán
又於月朔望大會諸生肄習課程,hựu ư nguyệt sóc vọng đại hội chư sinh dị tập khoá trình
自是儒風益振人才多有成就焉,tự thị nho phong ích chấn nhân tài đa hữu thành tựu yên
副将左都督黄義膠卒,phó tướng tả đô đốc hoàng nghĩa giao tốt
義膠以世家名将忠義智勇奉差留屯日久累破賊陣有功於國,nghĩa giao dĩ thế gia danh tướng trung nghĩa trí dũng phụng sai lưu đồn nhật cửu luỹ phá tặc trận hữu công ư quốc
至是卒年四十贈太保賜謚勇畧褒封爲福神立祠享祀,chí thị tốt niên tứ thập tặng thái bảo tứ thuỵ dũng lược bao phong vi phúc thần lập từ hưởng tự
義膠金黄雲人,nghĩa giao kim hoàng vân nhân
洞命陪從胡士揚,động mệnh bồi tòng hồ sĩ dương
等往關上接北使,đẳng vãng quan thượng tiếp bắc sứ
秋七月致仕楊𦤶澤卒贈太宰,thu thất nguyệt trí sĩ dương trí trạch tốt tặng thái tể
八月天雨久不止,bát nguyệt thiên vũ cửu bất chỉ
九月帝感疽疾詔改元爲萬慶元年,cửu nguyệt đế cảm thư tật chiếu cải nguyên vi vạn khánh nguyên niên
時帝疽氣未愈因旨諭尙師西王曰前日因宗嗣未廣取别姓人維䄚立爲黄太子,thời đế thư khí vị dũ nhân chỉ dụ thượng sư tây vương viết tiền nhật nhân tông tự vị quảng thủ biệt tính nhân duy tào lập vi hoàng thái tử
兹因慮後事上畏聖祖神宗在天之靈不敢以大位輕付他人,tư nhân lự hậu sự thượng uý thánh tổ thần tông tại thiên chi linh bất cảm dĩ đại vị khinh phó tha nhân
其維䄚應廢㱕母姓,kì duy tào ưng phế quy mẫu tính
兹嫡子維䄔年方九歳漸已長成尙賴王翊賛成就以承大統慰臣民之望,tư đích tử duy vũ niên phương cửu tuế tiệm dĩ trường thành thượng lại vương dực tán thành tựu dĩ thừa đại thống uý thần dân chi vọng
王以事關重大乃命文武百僚並入丹墀待命因委參從禮部,vương dĩ sự quan trọng đại nãi mệnh văn võ bách liêu tịnh nhập đan trì đãi mệnh nhân uỷ tham tòng lễ bộ
尚書兼東閣大學士少保燕郡公范公著右都督兼太監沛郡公黎曰登𣕲郡公黎登進等入御寝所靣受顧命,thượng thư kiêm đông các đại học sĩ thiếu bảo yến quận công phạm công trước hữu đô đốc kiêm thái giám phái quận công lê viết đăng cắng quận công lê đăng tiến đẳng nhập ngự tẩm sở diện thụ cố mệnh
上曉諭欵曲再三如前諭旨,thượng hiểu dụ khoản khúc tái tam như tiền dụ chỉ
公著等具以其事復于王,công trước đẳng cụ dĩ kì sự phục vu vương
於是王與羣臣尊立皇子維䄔爲皇太子廢維䄚爲庶人㱕母姓,ư thị vương dữ quần thần tôn lập hoàng tử duy vũ vi hoàng thái tử phế duy tào vi thứ nhân quy mẫu tính
復命胡士揚與翰林待制阮名實等往關上候命,phục mệnh hồ sĩ dương dữ hàn lâm đãi chế nguyễn danh thực đẳng vãng quan thượng hậu mệnh
二十二日帝崩,nhị thập nhị nhật đế băng
僉都御史馮曰脩枉法受賂,thiêm đô ngự sử phùng viết tu uổng pháp thụ lộ
事覺絞死,sự giác giảo tử
山西承政使郭同德亦以賄賂󰰾職,sơn tây thừa chính sứ quách đồng đức diệc dĩ hối lộ bãi chức
辭逮同知府張文嶺由任國威日受賂處,từ đãi đồng tri phủ trương văn lĩnh do nhậm quốc uy nhật thụ lộ xứ
死,tử
文嶺年七十餘亦寘于刑時人莫不憐之,văn lĩnh niên thất thập dư diệc trí vu hình thời nhân mạc bất liên chi
冬十一月皇太子即皇帝位,đông thập nhất nguyệt hoàng thái tử tức hoàng đế vị
以明年爲景治元年,dĩ minh niên vi cảnh trị nguyên niên
詔曰盖聞天道運於上必宣氣布澤以成品物之亨君位陟在初必施惠行慶以播邇遐之告,chiếu viết cái văn thiên đạo vận ư thượng tất tuyên khí bố trạch dĩ thành phẩm vật chi hanh quân vị trắc tại sơ tất thi huệ hành khánh dĩ bá nhĩ hà chi cáo
會通𠃔恊聞見普同,hội thông doãn hiệp văn kiến phổ đồng
我國家立國以仁得民有道,ngã quốc gia lập quốc dĩ nhân đắc dân hữu đạo
太祖髙皇帝武以定文以守藉賢臣而恢創業之宏謨,thái tổ cao hoàng đế vũ dĩ định văn dĩ thủ tạ hiền thần nhi khôi sáng nghiệp chi hoành mô
列聖皇帝仁以結禮以維資碩德而保守成之丕憲,liệt thánh hoàng đế nhân dĩ kết lễ dĩ duy tư thạc đức nhi bảo thủ thành chi phi hiến
雖一厄時遭屯五然重興運正泰初,tuy nhất ách thời tao truân ngũ nhiên trùng hưng vận chính thái sơ
荘宗裕皇帝,trang tông dụ hoàng đế
中宗武皇,trung tông vũ hoàng
帝奮起義旅收復京城而尊立帝室全資,đế phấn khởi nghĩa lữ thu phục kinh thành nhi tôn lập đế thất toàn tư
世祖太王之神謀睿筭,thế tổ thái vương chi thần mưu duệ toán
世宗毅皇帝,thế tông nghị hoàng đế
敬宗惠皇帝克濟大業光宅區夏而翊扶正統多頼,kính tông huệ hoàng đế khắc tế đại nghiệp quang trạch khu hạ nhi dực phù chính thống đa lại
成祖哲王之聖德文功,thành tổ triết vương chi thánh đức văn công
烈謨增賁于前基緒永再於後,liệt mô tăng bí vu tiền cơ tự vĩnh tái ư hậu
逮我皇父誕膺駿命嗣守鴻圖,đãi ngã hoàng phụ đản ưng tuấn mệnh tự thủ hồng đồ
上承聖祖神宗創守之䂓恪遵紀律前頼文祖誼王扶持之力興起治功,thượng thừa thánh tổ thần tông sáng thủ chi quy khác tuân kỷ luật tiền lại văn tổ nghị vương phù trì chi lực hưng khởi trị công
中正德欲進乾剛髙明學益資頤養,trung chính đức dục tiến càn cương cao minh học ích tư di dưỡng
寔頼大元帥掌國政尚師西王薰陶成就而致其德之純暨欽差節制各處,thực lại đại nguyên soái chưởng quốc chính thượng sư tây vương huân đào thành tựu nhi trí kì đức chi thuần kị khâm sai tiết chế các xứ
水步諸營兼總政柄太尉宜國公輔弼彌縫而成其政之羙,thuỷ bộ chư dinh kiêm tổng chính bính thái uý nghi quốc công phụ bật di phùng nhi thành kì chính chi mĩ
四十四年無爲而治億兆百姓咸遂其生,tứ thập tứ niên vô vi nhi trị ức triệu bách tính hàm toại kỳ sinh
兹適倦勤之餘念以託孤之重,tư thích quyện cần chi dư niệm dĩ thác cô chi trọng
幸頼大元帥掌國政尚師西王德昭忠聖力茂保衡𠃔節制府准大臣文武百僚等請尊立朕即皇帝位,hạnh lại đại nguyên soái chưởng quốc chính thượng sư tây vương đức chiêu trung thánh lực mậu bảo hành doãn tiết chế phủ chuẩn đại thần văn võ bách liêu đẳng thỉnh tôn lập trẫm tức hoàng đế vị
朕居諒隂自以幼冲難當負荷,trẫm cư lạng âm tự dĩ ấu xung nạn đương phụ hạ
然念宗廟大噐社稷重寄弗堪辭遜惟謹遵承,nhiên niệm tông miếu đại khí xã tắc trọng ký phất kham từ tốn duy cẩn tuân thừa
廼於本年本月日即皇帝位大赦改元以明年癸卯爲景治元年,nãi ư bản niên bản nguyệt nhật tức hoàng đế vị đại xá cải nguyên dĩ minh niên quý mão vi cảnh trị nguyên niên
尚頼大臣文武百官明勗交脩輔成厥,thượng lại đại thần văn võ bách quan minh úc giao tu phụ thành quyết
德以膺天地祖宗付畀之重以慰内外臣民視聽之情,đức dĩ ưng thiên địa tổ tông phó tý chi trọng dĩ uý nội ngoại thần dân thị thính chi tình
於戱五位光登兹布清明之政億年卜歷佇綿長久之圖,ư hô ngũ vị quang đăng tư bố thanh minh chi chính ức niên bốc lịch trữ miên trường cửu chi đồ
布告邇遐使皆聞見,bố cáo nhĩ hà sử giai văn kiến
命胡士揚阮名實與户科給事中嘉壽男阮廷正等徃關上接使領受北朝頒賞銀幣等物并勑諭文,mệnh hồ sĩ dương nguyễn danh thực dữ hộ khoa cấp sự trung gia thọ nam nguyễn đình chính đẳng vãng quan thượng tiếp sứ lĩnh thụ bắc triều ban thưởng ngân tệ đẳng vật tịnh sắc dụ văn
十二月奉賫回京,thập nhị nguyệt phụng tê hồi kinh
大𧻗史記本紀續編卷之十八終,đại 𧻗 sử ký bản kỷ tục biên quyển chi thập bát chung
大越史記本紀續編卷之十九,đại việt sử ký bản kỷ tục biên quyển chi thập cửu
黎皇朝紀,lê hoàng triều kỷ
玄宗穆皇帝諱維䄔神宗之子真宗之弟在位九年壽十八歲而崩䘮果盛陵帝天資仁厚神采靖嚴居拱之年海内安治年榖豊登亦可謂賢君矣享國不永惜哉癸卯景治元年明永曆十七年清康熙二年春正月時帝年幼王遣左都督擢郡公鄭槏右都督普郡公黄仕科都督同知强郡公阮援都督僉事膠郡公鄭楹入管四衛兵侍衛〇,huyền tông mục hoàng đế huý duy vũ thần tông chi tử chân tông chi đệ tại vị cửu niên thọ thập bát tuế nhi băng táng quả thịnh lăng đế thiên tư nhân hậu thần thái tĩnh nghiêm cư củng chi niên hải nội an trị niên cốc phong đăng diệc khả vị hiền quân hĩ hưởng quốc bất vĩnh tích tai quý mão cảnh trị nguyên niên minh vĩnh lịch thập thất niên thanh khang hy nhị niên xuân chính nguyệt thời đế niên ấu vương khiển tả đô đốc trạc quận công trịnh liêm hữu đô đốc phổ quận công hoàng sĩ khoa đô đốc đồng tri cường quận công nguyễn viện đô đốc thiêm sự giao quận công trịnh doanh nhập quản tứ vệ binh thị vệ linh
二月以胡士楊爲東閣大學士陞子爵阮名實陞男爵阮廷正陞子爵,nhị nguyệt dĩ hồ sĩ dương vi đông các đại học sĩ thăng tử tước nguyễn danh thực thăng nam tước nguyễn đình chính thăng tử tước
以其徃關上接領北朝攷賞勑諭銀幣故也〇,dĩ kì vãng quan thượng tiếp lĩnh bắc triều khảo thưởng sắc dụ ngân tệ cố dã linh
命胡士楊阮名實阮廷正等徃關上候命〇,mệnh hồ sĩ dương nguyễn danh thực nguyễn đình chính đẳng vãng quan thượng hậu mệnh linh
贈都督同知韜郡公莫敬門爲左都督,tặng đô đốc đồng tri thao quận công mạc kính môn vi tả đô đốc
敬門係僞族屬先以革心歸命蒙加職爵,kính môn hệ nguỵ tộc thuộc tiên dĩ cách tâm quy mệnh mông gia chức tước
敬門復迯回高平,kính môn phục đào hồi cao bình
後又詣關爲臣,hậu hựu nghệ quan vi thần
王含弘大德更容納優待,vương hàm hoằng đại đức cánh dung nạp ưu đãi
至是殆又贈之〇,chí thị đãi hựu tặng chi linh
三月禁天下官民賭搏〇,tam nguyệt cấm thiên hạ quan dân đổ bác linh
是月十五日皇弟黎維祫誕生〇,thị nguyệt thập ngũ nhật hoàng đệ lê duy hợp đản sinh linh
夏四月加少傅護郡公武公添掌司禮監總太監兼各監司事〇,hạ tứ nguyệt gia thiếu phó hộ quận công võ công thiêm chưởng ti lễ giám tổng thái giám kiêm các giám tư sự linh
五月令旨御史󰉟勘問詞訟當遵律令守廉勒,ngũ nguyệt lệnh chỉ ngự sử đài khám vấn từ tụng đương tuân luật lệnh thủ liêm lặc
仍戒勑十三道監察御史一體遵行毋得淹留廢格〇,nhưng giới sắc thập tam đạo giám sát ngự sử nhất thể tuân hành vô đắc yêm lưu phế cách linh
令旨各處承憲二司查察所屬府縣官某能用心撫字訓化部民公明廉直政平訟理某不能盡心恤民務爲苛刻貪鄙賄賂怠廢政事者各以名聞以僃黜陟〇,lệnh chỉ các xứ thừa hiến nhị ti tra sát sở thuộc phủ huyện quan mỗ năng dụng tâm phủ tự huấn hoá bộ dân công minh liêm trực chính bình tụng lý mỗ bất năng tận tâm tuất dân vụ vi hà khắc tham bỉ hối lộ đãi phế chính sự giả các dĩ danh văn dĩ bị truất trắc linh
六月遣正使黎斅副使楊㵆同存澤如清歲貢附謝恩及告哀事〇,lục nguyệt khiển chánh sứ lê hiệu phó sứ dương hạo đồng tồn trạch như thanh tuế cống phụ tạ ân cập cáo ai sự linh
大水泛溢渰民田禾浸民盧屋,đại thuỷ phiếm dật yêm dân điền hoà tẩm dân lư ốc
快州常信地方水害愈甚〇,khoái châu thường tín địa phương thuỷ hại dũ thậm linh
令旨各處鎮守係諸犯人迯匿應拿捉付襨議施行,lệnh chỉ các xứ trấn thủ hệ chư phạm nhân đào nặc ưng nã tróc phó phức nghị thi hành
又戒内外該勘官諸犯人不,hựu giới nội ngoại cai khám quan chư phạm nhân bất
預八議各隨輕重論刑毋得許贖〇,dự bát nghị các tuỳ khinh trọng luận hình vô đắc hứa chuộc linh
秋七月申明教化四十七條,thu thất nguyệt thân minh giáo hoá tứ thập thất điều
其畧曰爲臣盡忠爲子止孝兄弟相和睦夫妻相愛敬朋友止信以輔仁父母脩身以教子師生以道相持家長以禮立教子弟恪敬父兄婦人無違夫子婦人夫亡無子不得私運貨財居鄕黨者長幼相敬愛便害相興除毋以强而陵弱無唱訟而行私豪强不得勘訟事男女不得肆滛風證訟者以實而無徇貨財旅次者防姦而勿拒投宿勿占道路爲園,kì lược viết vi thần tận trung vi tử chỉ hiếu huynh đệ tương hoà mục phu thê tương ái kính bằng hữu chỉ tín dĩ phụ nhân phụ mẫu tu thân dĩ giáo tử sư sinh dĩ đạo tương trì gia trưởng dĩ lễ lập giáo tử đệ khác kính phụ huynh phụ nhân vô vi phu tử phụ nhân phu vong vô tử bất đắc tư vận hoá tài cư hương đảng giả trường ấu tương kính ái tiện hại tương hưng trừ vô dĩ cường nhi lăng nhược vô xướng tụng nhi hành tư hào cường bất đắc khám tụng sự nam nữ bất đắc tứ dâm phong chứng tụng giả dĩ thực nhi vô tuẫn hoá tài lữ thứ giả phòng gian nhi vật cự đầu túc vật chiêm đạo lộ vi viên
圃勿侵溪港爲沼池山林川澤之便與眾共之坊社村庄之長擇人爲之生業務勤鄕飲從儉毋倚特權勢而寄記詞訟毋故将老弱而嫁禍善人毋托僧妮以避役無唆人訟以取財事爭訟者毋爲羅織以誣人業商買者毋聚徒黨而爲盗橋梁道路有頽弊者隨便修培吏事簿牒不得倒顛陵廟祠墓不得侵破男女勿爲巫覡之徒䘮家勿為中元之唱毋傲慢官長毋誘賣人口配匹當班族類勿論貨財䘮禮各隨豊儉,phố vật xâm khê cảng vi chiểu trì sơn lâm xuyên trạch chi tiện dữ chúng cộng chi phường xã thôn trang chi trường trạch nhân vi chi sinh nghiệp vụ cần hương ẩm tòng kiệm vô ỷ đặc quyền thế nhi ký ký từ tụng vô cố tương lão nhược nhi giá hoạ thiện nhân vô thác tăng ni dĩ tị dịch vô toa nhân tụng dĩ thủ tài sự tranh tụng giả vô vi la chức dĩ vu nhân nghiệp thương mãi giả vô tụ đồ đảng nhi vi đạo kiều lương đạo lộ hữu đồi tệ giả tuỳ tiện tu bồi lại sự bạ điệp bất đắc đảo điên lăng miếu từ mộ bất đắc xâm phá nam nữ vật vi vu hích chi đồ táng gia vật vi trung nguyên chi xướng vô ngạo mạn quan trưởng vô dụ mại nhân khẩu phối thất đương ban tộc loại vật luận hoá tài táng lễ các tuỳ phong kiệm
毋索飲食間耕同田不得相要錢榖同居鄕邑不得相攘財物,vô sách ẩm thực gian canh đồng điền bất đắc tương yếu tiền cốc đồng cư hương ấp bất đắc tương nhương tài vật
凡若干條攷布天下各處承憲府縣州等衙門各抄一本掛于視事堂仍輔送所屬各社民各書于扁留掛亭中許官員監生生徒社長以鄕飲日會集男女長幼講解曉示使之耳濡目染知所勸懲,phàm nhược can điều khảo bố thiên hạ các xứ thừa hiến phủ huyện châu đẳng nha môn các sao nhất bản quải vu thị sự đường nhưng phụ tống sở thuộc các xã dân các thư vu biển lưu quải đình trung hứa quan viên giám sinh sinh đồ xã trường dĩ hương ẩm nhật hội tập nam nữ trường ấu giảng giải hiểu thị sử chi nhĩ nhu mục nhiễm tri sở khuyến trừng
自是人心漸歸善俗矣〇,tự thị nhân tâm tiệm quy thiện tục hĩ linh
八月令旨各處承司察屬内民有外國客人寓居者各類以聞隨疑區處以别姝俗〇,bát nguyệt lệnh chỉ các xứ thừa ti sát thuộc nội dân hữu ngoại quốc khách nhân ngụ cư giả các loại dĩ văn tuỳ nghi khu xứ dĩ biệt xu tục linh
九月以阮公璧爲京北處參政阮簷爲海陽處參,cửu nguyệt dĩ nguyễn công bích vi kinh bắc xứ tham chính nguyễn thiềm vi hải dương xứ tham
政阮名實爲刑科都給事中黎公朝爲清華道監察御史〇,chính nguyễn danh thực vi hình khoa đô cấp sự trung lê công triều vi thanh hoa đạo giám sát ngự sử linh
修南郊昭事殿,tu nam giao chiêu sự điện
先是南郊以有殿宇而制度猶尙狹小,tiên thị nam giao dĩ hữu điện vũ nhi chế độ do thượng hiệp tiểu
至是王命增加營作,chí thị vương mệnh tăng gia doanh tác
其正殿堂四角柱用石爲之基庭内外並砌以石棟梁榱桷一皆朱漆湘金規模制度煥爾鼎新,kì chính điện đường tứ giác trụ dụng thạch vi chi cơ đình nội ngoại tịnh thế dĩ thạch đống lương suy giác nhất giai chu tất tương kim quy mô chế độ hoán nhĩ đỉnh tân
王復命詞臣胡士楊等撰文勒石以紀其事〇,vương phục mệnh từ thần hồ sĩ dương đẳng soạn văn lặc thạch dĩ kỷ kì sự linh
冬十月禁天下學花郎道,đông thập nguyệt cấm thiên hạ học hoa lang đạo
初有花郎國人入居國中立爲異道誕惑愚民鄙夫鄙婦多信慕之聽講之塲羣居混雜男女無别,sơ hữu hoa lang quốc nhân nhập cư quốc trung lập vi dị đạo đản hoặc ngu dân bỉ phu bỉ phụ đa tín mộ chi thính giảng chi trường quần cư hỗn tạp nam nữ vô biệt
󰪀已驅去其人而,lửng dĩ khu khứ kỳ nhân nhi
書居猶存弊習未改,thư cư do tồn tệ tập vị cải
至是復嚴禁之〇,chí thị phục nghiêm cấm chi linh
以阮曰任爲太原處承政使范維質爲山西處參政〇,dĩ nguyễn viết nhiệm vi thái nguyên xứ thừa chính sứ phạm duy chất vi sơn tây xứ tham chính linh
十一月减赦四鎮民季税有差由被洪水損失禾榖故也〇,thập nhất nguyệt giảm xá tứ trấn dân quý thuế hữu sai do bị hồng thuỷ tổn thất hoà cốc cố dã linh
鄕試天下士人〇,hương thí thiên hạ sĩ nhân linh
十二月以衛郡公鄭梐爲都督同知〇,thập nhị nguyệt dĩ vệ quận công trịnh bệ vi đô đốc đồng tri linh
貶范立禮爲兵科都給中中以立禮任海陽處參政勘堤路失實故也中,biếm phạm lập lễ vi binh khoa đô cấp trung trung dĩ lập lễ nhậm hải dương xứ tham chính khám đê lộ thất thực cố dã trung
以都督同知祿郡公丁文左行安廣處都總兵使〇,dĩ đô đốc đồng tri lộc quận công đinh văn tả hành an quảng xứ đô tổng binh sử linh
命京官徃清華乂安二處開例,mệnh kinh quan vãng thanh hoa nghệ an nhị xứ khai lệ
